2020-03-04 13:25:00 [Main]-[DEBUG](13) 程序开始运行
2020-03-04 13:25:04 [IconPackaging.TreeRootIcon]-[DEBUG](77) 点击查询成绩
2020-03-04 13:25:05 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:12 [IconPackaging.TreeRootIcon]-[DEBUG](98) 点击选课
2020-03-04 13:25:12 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:13 [IconPackaging.TreeRootIcon]-[DEBUG](77) 点击查询成绩
2020-03-04 13:25:13 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:14 [IconPackaging.TreeRootIcon]-[DEBUG](77) 点击查询成绩
2020-03-04 13:25:14 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:14 [IconPackaging.TreeRootIcon]-[DEBUG](77) 点击查询成绩
2020-03-04 13:25:15 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:15 [IconPackaging.TreeRootIcon]-[DEBUG](125) 点击文档填写
2020-03-04 13:25:16 [IconPackaging.TreeRootIcon]-[DEBUG](147) 点击查看通知
2020-03-04 13:25:16 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:16 [Crawling.CrawMain]-[INFO](62) 读取学校公告网站源码
2020-03-04 13:25:17 [IconPackaging.TreeRootIcon]-[DEBUG](176) 点击就业信息查询
2020-03-04 13:25:17 [Net.Net]-[INFO](20) 联网成功
2020-03-04 13:25:17 [Crawling.CrawMain]-[INFO](227) 读取动态新闻
2020-03-04 13:25:18 [Crawling.CrawMain]-[INFO](354) 读取日历信息
